date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:10:00	92/92	---MCZ	200	added ('OK')	text/plain	etag:%227b6-59-4da019bf7dbb9%22	http://dbk4.kiev.ua/robots.txt		(from )
01:10:00	19872/19872	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Nov%202017%2023:10:00%20GMT	http://dbk4.kiev.ua/	D:/Plish2/Plish2/dbk4.kiev.ua/index.html	(from )
01:10:00	932/932	---M--	200	added ('OK')	image/x-icon	date:Wed,%2010%20Apr%202013%2014:10:45%20GMT	http://dbk4.kiev.ua/assets/site/img/favicon.ico	D:/Plish2/Plish2/dbk4.kiev.ua/assets/site/img/favicon.ico	(from http://dbk4.kiev.ua/)
01:10:01	14473/14473	---MCZ	200	added ('OK')	text/css	date:Tue,%2018%20Mar%202014%2006:18:03%20GMT	http://dbk4.kiev.ua/assets/site/css/style.css	D:/Plish2/Plish2/dbk4.kiev.ua/assets/site/css/style.css	(from http://dbk4.kiev.ua/)
01:10:01	17634/17634	---MCZ	200	added ('OK')	text/css	date:Thu,%2011%20Apr%202013%2006:30:35%20GMT	http://dbk4.kiev.ua/assets/site/fotorama/fotorama.css	D:/Plish2/Plish2/dbk4.kiev.ua/assets/site/fotorama/fotorama.css	(from http://dbk4.kiev.ua/)
01:10:01	1476/1476	---MCZ	200	added ('OK')	text/css	date:Tue,%2015%20Jan%202013%2007:46:39%20GMT	http://dbk4.kiev.ua/assets/site/css/jscrollpane.css	D:/Plish2/Plish2/dbk4.kiev.ua/assets/site/css/jscrollpane.css	(from http://dbk4.kiev.ua/)
01:10:03	94839/94839	---MCZ	200	added ('OK')	application/x-javascript	date:Tue,%2015%20Jan%202013%2020:26:29%20GMT	http://dbk4.kiev.ua/assets/site/js/jquery-1.7.2.min.js	D:/Plish2/Plish2/dbk4.kiev.ua/assets/site/js/jquery-1.7.2.min.js	(from http://dbk4.kiev.ua/)
01:10:03	38794/38794	---MCZ	200	added ('OK')	application/x-javascript	date:Tue,%2015%20Jan%202013%2021:20:11%20GMT	http://dbk4.kiev.ua/assets/site/fotorama/fotorama.js	D:/Plish2/Plish2/dbk4.kiev.ua/assets/site/fotorama/fotorama.js	(from http://dbk4.kiev.ua/)
01:10:03	2383/2383	---MCZ	200	added ('OK')	application/x-javascript	date:Tue,%2015%20Jan%202013%2007:46:52%20GMT	http://dbk4.kiev.ua/assets/site/js/jcarousel.js	D:/Plish2/Plish2/dbk4.kiev.ua/assets/site/js/jcarousel.js	(from http://dbk4.kiev.ua/)
01:10:03	2399/2399	---MCZ	200	added ('OK')	application/x-javascript	date:Tue,%2015%20Jan%202013%2015:03:38%20GMT	http://dbk4.kiev.ua/assets/site/js/myquery.js	D:/Plish2/Plish2/dbk4.kiev.ua/assets/site/js/myquery.js	(from http://dbk4.kiev.ua/)
01:10:05	210145/210145	---M-Z	200	added ('OK')	application/x-javascript	etag:%2222d449933c785aa9364d0afcedff236b%22	http://connect.facebook.net/ru_RU/all.js	D:/Plish2/Plish2/connect.facebook.net/ru_RU/all.js	(from http://dbk4.kiev.ua/)
01:10:06	18523/18523	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Nov%202017%2023:10:04%20GMT	http://dbk4.kiev.ua/ua/	D:/Plish2/Plish2/dbk4.kiev.ua/ua/index.html	(from http://dbk4.kiev.ua/)
01:10:06	17556/17556	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Nov%202017%2023:10:04%20GMT	http://dbk4.kiev.ua/produkciya.html	D:/Plish2/Plish2/dbk4.kiev.ua/produkciya.html	(from http://dbk4.kiev.ua/)
01:10:06	12299/12299	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Nov%202017%2023:10:05%20GMT	http://dbk4.kiev.ua/gallereya.html	D:/Plish2/Plish2/dbk4.kiev.ua/gallereya.html	(from http://dbk4.kiev.ua/)
01:10:07	12563/12563	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Nov%202017%2023:10:06%20GMT	http://dbk4.kiev.ua/ogoloshennya.html	D:/Plish2/Plish2/dbk4.kiev.ua/ogoloshennya.html	(from http://dbk4.kiev.ua/)
01:10:07	13094/13094	---MCZ	200	added ('OK')	text/html	date:Thu,%2030%20Nov%202017%2023:10:06%20GMT	http://dbk4.kiev.ua/contacts.html	D:/Plish2/Plish2/dbk4.kiev.ua/contacts.html	(from http://dbk4.kiev.ua/)
